Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,Average Price,Price Change
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,2023-09-24 23:59:59.999,416368301.37368480,545045,7547.06342000,200078452.01675770,0,26430.31,-327.59000000000015
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,2023-09-25 23:59:59.999,688252596.38099440,873488,12654.58207000,331622453.15180550,0,26218.305,56.42000000000189
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,2023-09-26 23:59:59.999,485217905.04210480,697727,8813.76144000,231246870.54745880,0,26242.9,-83.13000000000102
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,2023-09-27 23:59:59.999,918797815.04848100,939690,16813.75506000,444221386.42614100,0,26481.03,151.3100000000013
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,2023-09-28 23:59:59.999,1193420040.13091850,1158974,22463.19242000,602340703.60150620,0,26825.440000000002,648.3899999999994
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,2023-09-29 23:59:59.999,767827314.93190890,878610,14409.35554000,388591243.25915250,0,26955.025,-114.43000000000029
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,2023-09-30 23:59:59.999,345406056.68069530,534908,6221.24272000,167818583.05995750,0,26990.65,55.60000000000218
2023-10-01,26962.57,28065.51,26954.09,27992.57,24602.81468,2023-10-01 23:59:59.999,674657121.99442040,883593,12815.98694000,351622961.47012740,0,27509.8,1030.0
2023-10-02,27992.58,28580.0,27281.44,27494.51,57071.14241,2023-10-02 23:59:59.999,1600944483.49020640,1464158,28423.61000000,797598852.47977820,0,27930.72,-498.07000000000335
2023-10-03,27494.51,27676.52,27160.5,27426.46,28928.96555,2023-10-03 23:59:59.999,794301815.42650200,1202377,13562.03527000,372402100.79675110,0,27418.510000000002,-68.04999999999927
2023-10-04,27426.45,27839.72,27202.0,27778.57,29816.142,2023-10-04 23:59:59.999,820421385.25578530,1188381,15077.70185000,414806576.34840140,0,27520.86,352.119999999999
2023-10-05,27778.57,28120.39,27352.0,27410.39,30681.49619,2023-10-05 23:59:59.999,849415594.04725040,1210397,14985.99405000,415039706.58664760,0,27736.195,-368.1800000000003
2023-10-06,27410.39,28295.0,27175.94,27931.09,37983.24277,2023-10-06 23:59:59.999,1052864393.81761350,1326700,19091.24006000,529241188.55736900,0,27735.47,520.7000000000007
2023-10-07,27931.1,28029.67,27842.08,27956.67,13348.83825,2023-10-07 23:59:59.999,372820279.52314300,641623,6392.35089000,178534947.77878390,0,27935.875,25.56999999999971
2023-10-08,27956.67,28095.14,27687.5,27917.05,19693.56921,2023-10-08 23:59:59.999,549839951.48008110,822730,9216.08271000,257333249.53307720,0,27891.32,-39.61999999999898
2023-10-09,27917.06,27987.93,27260.0,27590.12,31534.74639,2023-10-09 23:59:59.999,870014634.36216090,1156525,15077.43003000,415887241.10445000,0,27623.965,-326.9400000000023
2023-10-10,27590.12,27735.0,27298.0,27390.12,22776.84383,2023-10-10 23:59:59.999,626258724.27757830,1002272,10851.22317000,298354384.69814990,0,27516.5,-200.0
2023-10-11,27390.12,27477.39,26538.66,26875.52,37349.44706,2023-10-11 23:59:59.999,1007065585.93464060,1336479,17460.07740000,470620209.78574460,0,27008.025,-514.5999999999985
2023-10-12,26875.52,26947.04,26555.0,26759.63,23428.64112,2023-10-12 23:59:59.999,626909068.38687170,1066082,11128.85943000,297794983.54123170,0,26751.02,-115.88999999999942
2023-10-13,26759.63,27130.0,26685.0,26862.0,24115.76499,2023-10-13 23:59:59.999,647553796.35806620,1035322,11209.65389000,301049285.74229300,0,26907.5,102.36999999999898
2023-10-14,26862.0,26989.58,26789.0,26852.48,10417.25576,2023-10-14 23:59:59.999,280059019.05340130,517837,4378.85219000,117730324.81867290,0,26889.29,-9.520000000000437
2023-10-15,26852.48,27293.33,26808.25,27154.15,15274.6917,2023-10-15 23:59:59.999,412673965.34393480,682942,7802.69243000,210833694.13443270,0,27050.79,301.6700000000019
2023-10-16,27154.14,30000.0,27112.66,28500.78,78399.22445,2023-10-16 23:59:59.999,2210785548.23609620,2289339,40738.04173000,1148700588.67933450,0,28556.33,1346.6399999999994
2023-10-17,28500.77,28613.65,28069.32,28395.91,38428.44532,2023-10-17 23:59:59.999,1090741746.48308740,1345810,18994.06799000,539218488.34158590,0,28341.485,-104.86000000000058
2023-10-18,28395.91,28982.36,28142.87,28320.0,32162.47591,2023-10-18 23:59:59.999,914773525.15275810,1215235,15590.14442000,443515753.81707720,0,28562.614999999998,-75.90999999999985
